11111: ----- -
24415: 22455 4
24421: 14451 1
24422: 54421 5
24423: 24321 3
24424: 24322 3
24425: 22415 4
24431: 24334 3
24432: 23232 2
24433: 54432 5
24434: 54433 5
24435: 54434 5
24441: 24344 3
24442: 22432 4
24443: 22433 4
24444: 54443 5
24445: 22435 4
24451: 14431 1
24452: 22442 4
24453: 22443 4
24454: 22444 4
24455: 24353 3
24511: 54515 5
24512: 24415 3
24513: 24411 3
24514: 24412 3
24515: 23315 2
24521: 23321 2
24522: 54521 5
24523: 23323 2
24524: 24422 3
24525: 22515 4
24531: 24434 3
24532: 24435 3
24533: 23333 2
24534: 23334 2
24535: 24433 3
24541: 23341 2
24542: 54541 5
24543: 54542 5
24544: 14524 1
24545: 24443 3
24551: 23351 2
24552: 22542 4
24553: 54552 5
24554: 23354 2
24555: 54554 5
25111: 15141 1
25112: 55111 5
25113: 23153 4
25114: 55113 5
25115: 24415 2
25121: 25524 3
25122: 23112 4
25123: 55122 5
25124: 15154 1
25125: 23115 4
25131: 55135 5
25132: 23122 4
25133: 24433 2
25134: 55133 5
25135: 24435 2
25141: 23131 4
25142: 55141 5
25143: 15123 1
25144: 55143 5
25145: 55144 5
25151: 15131 1
25152: 55151 5
25153: 15133 1
25154: 23144 4
25155: 23145 4
25211: 23251 4
25212: 55211 5
25213: 55212 5
25214: 25112 3
25215: 23255 4
25221: 55225 5
25222: 24522 2
25223: 25121 3
25224: 25122 3
25225: 15255 1
25231: 25134 3
25232: 55231 5
25233: 23223 4
25234: 55233 5
25235: 23225 4
25241: 25144 3
25242: 25145 3
25243: 24543 2
25244: 25142 3
25245: 55244 5
25251: 55255 5
25252: 24552 2
25253: 23243 4
25254: 25152 3
25255: 24555 2
25311: 25214 3
25312: 15342 1
25313: 55312 5
25314: 24114 2
25315: 25213 3
25321: 55325 5
25322: 24122 2
25323: 15353 1
25324: 55323 5
25325: 23315 4
25331: 25234 3
25332: 55331 5
25333: 23323 4
25334: 24134 2
25335: 55334 5
25341: 24141 2
25342: 24142 2
25343: 23333 4
25344: 25242 3
25345: 25243 3
25351: 55355 5
25352: 55351 5
25353: 25251 3
25354: 24154 2
25355: 15335 1
25411: 55415 5
25412: 25315 3
25413: 23453 4
25414: 23454 4
25415: 23455 4
25421: 25324 3
25422: 55421 5
25423: 23413 4
25424: 55423 5
25425: 23415 4
25431: 15411 1
25432: 55431 5
25433: 55432 5
25434: 24234 2
25435: 15415 1
25441: 55445 5
25442: 23432 4
25443: 23433 4
25444: 15424 1
25445: 23435 4
25451: 15431 1
25452: 55451 5
25453: 25351 3
25454: 15434 1
25455: 23445 4
25511: 25414 3
25512: 25415 3
25513: 24313 2
25514: 25412 3
25515: 15545 1
25521: 24321 2
25522: 55521 5
25523: 23513 4
25524: 25422 3
25525: 55524 5
25531: 24331 2
25532: 55531 5
25533: 55532 5
25534: 25432 3
25535: 25433 3
25541: 24341 2
25542: 55541 5
25543: 25441 3
25544: 24344 2
25545: 24345 2
25551: 15531 1
25552: 24352 2
25553: 24353 2
25554: 15534 1
25555: 23545 4
31111: 31514 3
31112: 11111 5
31113: 31511 3
31114: 34154 4
31115: 31513 3
31121: 35421 2
31122: 11121 5
31123: 34113 4
31124: 34114 4
31125: 35425 2
31131: 21111 1
31132: 11131 5
31133: 11132 5
31134: 21114 1
31135: 11134 5
31141: 34131 4
31142: 34132 4
31143: 31541 3
31144: 21124 1
31145: 11144 5
31151: 34141 4
31152: 21132 1
31153: 34143 4
31154: 34144 4
31155: 11154 5
31211: 34251 4
31212: 34252 4
31213: 21243 1
31214: 31112 3
31215: 21245 1
31221: 31124 3
31222: 11221 5
31223: 34213 4
31224: 31122 3
31225: 35525 2
31231: 11235 5
31232: 31135 3
31233: 11232 5
31234: 34224 4
31235: 35535 2
31241: 34231 4
31242: 31145 3
31243: 11242 5
31244: 11243 5
31245: 34235 4
31251: 31154 3
31252: 31155 3
31253: 31151 3
31254: 34244 4
31255: 31153 3
31311: 34351 4
31312: 34352 4
31313: 21343 1
31314: 11313 5
31315: 35115 2
31321: 34311 4
31322: 34312 4
31323: 11322 5
31324: 35124 2
31325: 21355 1
31331: 11335 5
31332: 35132 2
31333: 31231 3
31334: 34324 4
31335: 35135 2
31341: 31244 3
31342: 35142 2
31343: 21323 1
31344: 34334 4
31345: 31243 3
31351: 11355 5
31352: 11351 5
31353: 11352 5
31354: 34344 4
31355: 35155 2
31411: 34451 4
31412: 11411 5
31413: 31311 3
31414: 21444 1
31415: 11414 5
31421: 11425 5
31422: 21452 1
31423: 11422 5
31424: 34414 4
31425: 11424 5
31431: 35231 2
31432: 21412 1
31433: 11432 5
31434: 11433 5
31435: 31333 3
31441: 34431 4
31442: 11441 5
31443: 11442 5
31444: 34434 4
31445: 21425 1
31451: 11455 5
31452: 35252 2
31453: 34443 4
31454: 31352 3
31455: 11454 5
31511: 34551 4
31512: 31415 3
31513: 11512 5
31514: 35314 2
31515: 11514 5
31521: 11525 5
31522: 35322 2
31523: 31421 3
31524: 11523 5
31525: 31423 3
31531: 31434 3
31532: 21512 1
31533: 34523 4
31534: 34524 4
31535: 31433 3
31541: 11545 5
31542: 35342 2
31543: 11542 5
31544: 31442 3
31545: 31443 3
31551: 34541 4
31552: 31455 3
31553: 31451 3
31554: 35354 2
31555: 21535 1
32111: 32514 3
32112: 35152 4
32113: 12112 5
32114: 22144 1
32115: 12114 5
32121: 12125 5
32122: 12121 5
32123: 31423 2
32124: 32522 3
32125: 32523 3
32131: 32534 3
32132: 22112 1
32133: 12132 5
32134: 35124 4
32135: 12134 5
32141: 12145 5
32142: 35132 4
32143: 22123 1
32144: 35134 4
32145: 35135 4
32151: 31451 2
32152: 35142 4
32153: 32551 3
32154: 12153 5
32155: 31455 2
32211: 12215 5
32212: 32115 3
32213: 22243 1
32214: 35254 4
32215: 31515 2
32221: 35211 4
32222: 32125 3
32223: 35213 4
32224: 35214 4
32225: 12224 5
32231: 12235 5
32232: 32135 3
32233: 31533 2
32234: 35224 4
32235: 32133 3
32241: 12245 5
32242: 12241 5
32243: 35233 4
32244: 22224 1
32245: 22225 1
32251: 31551 2
32252: 35242 4
32253: 35243 4
32254: 22234 1
32255: 35245 4
32311: 22341 1
32312: 31112 2
32313: 22343 1
32314: 35354 4
32315: 22345 1
32321: 32224 3
32322: 31122 2
32323: 22353 1
32324: 35314 4
32325: 32223 3
32331: 12335 5
32332: 35322 4
32333: 12332 5
32334: 12333 5
32335: 31135 2
32341: 12345 5
32342: 12341 5
32343: 32241 3
32344: 32242 3
32345: 31145 2
32351: 12355 5
32352: 35342 4
32353: 31153 2
32354: 31154 2
32355: 22335 1
32411: 22441 1
32412: 22442 1
32413: 35453 4
32414: 22444 1
32415: 12414 5
32421: 12425 5
32422: 35412 4
32423: 12422 5
32424: 35414 4
32425: 22455 1
32431: 35421 4
32432: 12431 5
32433: 32331 3
32434: 31234 2
32435: 31235 2
32441: 35431 4
32442: 35432 4
32443: 32341 3
32444: 31244 2
32445: 12444 5
32451: 12455 5
32452: 22432 1
32453: 12452 5
32454: 12453 5
32455: 35445 4
32511: 31311 2
32512: 22542 1
32513: 12512 5
32514: 12513 5
32515: 32413 3
32521: 12525 5
32522: 31322 2
32523: 32421 3
32524: 22554 1
32525: 32423 3
32531: 12535 5
32532: 32435 3
32533: 32431 3
32534: 32432 3
32535: 22515 1
32541: 35531 4
32542: 32445 3
32543: 12542 5
32544: 31344 2
32545: 12544 5
32551: 32454 3
32552: 31352 2
32553: 31353 2
32554: 12553 5
32555: 32453 3
33111: 31151 4
33112: 32412 2
33113: 13112 5
33114: 31154 4
33115: 31155 4
33121: 32421 2
33122: 31112 4
33123: 23153 1
33124: 13123 5
33125: 31115 4
33131: 23111 1
33132: 31122 4
33133: 13132 5
33134: 13133 5
33135: 32435 2
33141: 23121 1
33142: 31132 4
33143: 31133 4
33144: 13143 5
33145: 31135 4
33151: 13155 5
33152: 13151 5
33153: 32453 2
33154: 32454 2
33155: 31145 4
33211: 33114 3
33212: 33115 3
33213: 32513 2
33214: 13213 5
33215: 33113 3
33221: 13225 5
33222: 13221 5
33223: 32523 2
33224: 23254 1
33225: 23255 1
33231: 32531 2
33232: 31222 4
33233: 13232 5
33234: 33132 3
33235: 33133 3
33241: 33144 3
33242: 32542 2
33243: 23223 1
33244: 13243 5
33245: 32545 2
33251: 32551 2
33252: 23232 1
33253: 13252 5
33254: 31244 4
33255: 31245 4
33311: 23341 1
33312: 31352 4
